Sort method;Array type;Amount;Time;Operations
binaryInsertionSort;fill0To5;50;8010;1362
bubbleSort;fill0To5;50;6250;7549
bubbleSortIverson1;fill0To5;50;520;305
bubbleSortIverson2;fill0To5;50;713;602
countingSort;fill0To5;50;2583;269
heapSort;fill0To5;50;5813;3416
insertionSort;fill0To5;50;490;444
mergeSort;fill0To5;50;21800;3611
quickSort;fill0To5;50;1996;775
selectionSort;fill0To5;50;6590;4021
shellSortCiuraSequence;fill0To5;50;1290;886
shellSortShellSequence;fill0To5;50;1683;1038
binaryInsertionSort;fill0To4000;50;5686;346
bubbleSort;fill0To4000;50;8413;7549
bubbleSortIverson1;fill0To4000;50;383;305
bubbleSortIverson2;fill0To4000;50;623;602
countingSort;fill0To4000;50;30476;12185
heapSort;fill0To4000;50;6953;4301
insertionSort;fill0To4000;50;570;444
mergeSort;fill0To4000;50;20380;3611
quickSort;fill0To4000;50;1420;696
selectionSort;fill0To4000;50;5476;4021
shellSortCiuraSequence;fill0To4000;50;1543;886
shellSortShellSequence;fill0To4000;50;1623;1038
binaryInsertionSort;almostSorted;50;4583;346
bubbleSort;almostSorted;50;6256;7549
bubbleSortIverson1;almostSorted;50;383;305
bubbleSortIverson2;almostSorted;50;696;602
countingSort;almostSorted;50;2200;407
heapSort;almostSorted;50;7803;4301
insertionSort;almostSorted;50;463;444
mergeSort;almostSorted;50;20253;3611
quickSort;almostSorted;50;1366;696
selectionSort;almostSorted;50;5496;4021
shellSortCiuraSequence;almostSorted;50;1236;886
shellSortShellSequence;almostSorted;50;1996;1038
binaryInsertionSort;backwardSorted;50;4993;346
bubbleSort;backwardSorted;50;6566;7549
bubbleSortIverson1;backwardSorted;50;273;305
bubbleSortIverson2;backwardSorted;50;636;602
countingSort;backwardSorted;50;28616;12557
heapSort;backwardSorted;50;12080;4301
insertionSort;backwardSorted;50;643;444
mergeSort;backwardSorted;50;33506;3611
quickSort;backwardSorted;50;2566;696
selectionSort;backwardSorted;50;7676;4021
shellSortCiuraSequence;backwardSorted;50;2190;886
shellSortShellSequence;backwardSorted;50;2433;1038
binaryInsertionSort;fill0To5;100;18173;4540
bubbleSort;fill0To5;100;22543;30099
bubbleSortIverson1;fill0To5;100;536;605
bubbleSortIverson2;fill0To5;100;1056;1202
countingSort;fill0To5;100;2993;519
heapSort;fill0To5;100;13296;7763
insertionSort;fill0To5;100;773;894
mergeSort;fill0To5;100;44776;8188
quickSort;fill0To5;100;4810;1926
selectionSort;fill0To5;100;21183;15546
shellSortCiuraSequence;fill0To5;100;2980;2086
shellSortShellSequence;fill0To5;100;3746;2542
binaryInsertionSort;fill0To4000;100;10413;700
bubbleSort;fill0To4000;100;22436;30099
bubbleSortIverson1;fill0To4000;100;840;605
bubbleSortIverson2;fill0To4000;100;1010;1202
countingSort;fill0To4000;100;31186;12474
heapSort;fill0To4000;100;17700;10020
insertionSort;fill0To4000;100;1256;894
mergeSort;fill0To4000;100;42576;8188
